name,rating,genres,avg_user_rating,movieId
avengers-infinity-war,★★★½,"Action, Science Fiction, Adventure",4.0,122912.0
a-quiet-place-2018,★★★★,"Drama, Science Fiction, Horror",3.6,185029.0
annihilation,★★★½,"Horror, Science Fiction",3.6,182715.0
black-panther,★★★,"Adventure, Science Fiction, Action",3.7,122906.0
bright,★½,"Fantasy, Thriller, Action",2.3,182823.0
star-wars-the-last-jedi,★★★,"Adventure, Action, Science Fiction",2.9,179819.0
blue-planet-ii,★★★★½,"Family, Documentary",4.5,179135.0
blade-runner-2049,★★★★★,"Science Fiction, Drama",4.1,176371.0
thor-ragnarok,★★★½,"Adventure, Action, Science Fiction",3.7,122916.0
it-2017,★★★½,"Thriller, Horror",3.4,175303.0
downsizing,★,"Drama, Science Fiction",2.4,179881.0
naked-2017,★,Comedy,2.2,176599.0
dunkirk-2017,★★★½,"Action, Drama, War",3.8,174055.0
spider-man-homecoming,★★★,"Action, Drama, Adventure, Science Fiction",3.5,122926.0
the-florida-project,★★★★,Drama,4.1,177651.0
the-killing-of-a-sacred-deer,★★★½,"Thriller, Mystery, Drama",3.7,177689.0
okja,★★★★,"Drama, Science Fiction, Adventure",3.7,171765.0
history-of-the-entire-world-i-guess,★★★★,"History, Documentary, Comedy, Music",4.4,
guardians-of-the-galaxy-vol-2,★★★½,"Action, Science Fiction, Adventure",3.5,122918.0
dave-chappelle-deep-in-the-heart-of-texas,★★★½,Comedy,3.8,170411.0
baby-driver,★★★½,"Crime, Action",3.7,171763.0
get-out-2017,★★★½,"Horror, Mystery, Thriller",4.1,168250.0
icarus-2017,★★★★,Documentary,3.9,176423.0
the-101-year-old-man-who-skipped-out-on-the-bill-and-disappeared,★★½,"Adventure, Comedy",3.2,167696.0
passengers-2016,★★★,"Romance, Drama, Science Fiction",2.8,166635.0
rogue-one-a-star-wars-story,★★★,"Adventure, Science Fiction, Action",3.8,166528.0
planet-earth-ii,★★★★½,"Family, Documentary",4.6,171011.0
doctor-strange-2016,★★★,"Action, Adventure, Fantasy",3.5,122922.0
split-2016,★★★½,"Thriller, Horror",3.5,166534.0
moonlight-2016,★★★★,Drama,4.2,162414.0
arrival-2016,★★★★,"Science Fiction, Mystery, Drama",4.1,164179.0
war-dogs-2016,★★★,"Comedy, Drama, Crime",3.4,161131.0
suicide-squad-2016,★★,"Adventure, Action, Fantasy",2.1,135536.0
finding-dory,No Rating,"Adventure, Comedy, Animation, Family",3.3,157296.0
paterson,★★★★,"Romance, Drama, Comedy",3.9,156605.0
x-men-apocalypse,No Rating,"Genre Films, Science Fiction, Adventure, Action, Fantasy",2.6,122924.0
captain-america-civil-war,★★★,"Action, Science Fiction, Adventure",3.6,122920.0
deadpool,★★★½,"Genre Films, Action, Comedy, Adventure",3.7,122904.0
hunt-for-the-wilderpeople,★★★★,"Comedy, Drama, Adventure",4.1,152970.0
